SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
1.03177040104e-09,7.66782391451e-10,6.46893284283e-10,5.38529044631e-32,5.38529044631e-32,2.15411617852e-31
6.59872282006e-09,4.91723832025e-09,5.03795180114e-09,9.89400244524e-32,9.89400244524e-32,3.95760097809e-31
1.68729972966e-08,1.24744377183e-08,1.34507355161e-08,7.63552419836e-32,7.63552419836e-32,3.05420967934e-31
2.56229903682e-08,1.86196880016e-08,2.04289359797e-08,4.87798416476e-32,4.87798416476e-32,1.9511936659e-31
2.7318461653e-08,1.92822293895e-08,2.14441968478e-08,2.50262090916e-32,2.50262090916e-32,1.00104836366e-31
2.17617579253e-08,1.46408691863e-08,1.65509841975e-08,9.70272893659e-33,9.70272893659e-33,3.88109157464e-32
1.3035832653e-08,8.07545310224e-09,9.3492356234e-09,2.47150743417e-33,2.47150743417e-33,9.88602973669e-33
5.64075283959e-09,2.98526965221e-09,3.59200243818e-09,2.56856018614e-34,2.56856018614e-34,1.02742407445e-33
1.56875742561e-09,5.80755065013e-10,7.39191423319e-10,5.75459547977e-36,5.75459547977e-36,2.30183819191e-35
2.11351144983e-10,6.36527453987e-11,3.92261893941e-11,7.38041017267e-35,7.38041017267e-35,2.95216406907e-34
5.24592767501e-11,1.47410217483e-10,1.09338794303e-10,5.20939423364e-35,5.20939423364e-35,2.08375769346e-34
8.77112455843e-11,1.5791335036e-10,1.55784509811e-10,8.55535396298e-36,8.55535396298e-36,3.42214158519e-35
6.18427988696e-11,6.50309178505e-11,8.20393128971e-11,8.17047163378e-37,8.17047163378e-37,3.26818865351e-36
3.04008733305e-11,6.98959890422e-12,1.81277514619e-11,7.13719235061e-36,7.13719235061e-36,2.85487694024e-35
2.32804696292e-11,8.34117444045e-12,5.85348110543e-12,5.64322039482e-36,5.64322039482e-36,2.25728815793e-35
1.88166008111e-11,1.78124523712e-11,8.19493665494e-12,9.09074203166e-37,9.09074203166e-37,3.63629681267e-36
1.08070408942e-11,1.21706126661e-11,4.46083688209e-12,2.30564740129e-37,2.30564740129e-37,9.22258960517e-37
9.65854043002e-12,4.33119734787e-12,2.66648400634e-12,1.43034857431e-36,1.43034857431e-36,5.72139429725e-36
1.39784647768e-11,3.28960915113e-12,6.20070330775e-12,1.1162962769e-36,1.1162962769e-36,4.46518510762e-36
1.38671416922e-11,3.98994929064e-12,7.69835225795e-12,1.5426865556e-37,1.5426865556e-37,6.17074622238e-37
8.90456425395e-12,2.51527405021e-12,4.52208832945e-12,8.87341682511e-38,8.87341682511e-38,3.54936673005e-37
6.51223696173e-12,1.21751073317e-12,1.55012707145e-12,4.15073032781e-37,4.15073032781e-37,1.66029213112e-36
8.81351776886e-12,1.65117958933e-12,1.59447390862e-12,3.05392079165e-37,3.05392079165e-37,1.22156831666e-36
1.10230558975e-11,2.09138476053e-12,2.40781384553e-12,3.29831631008e-38,3.29831631008e-38,1.31932652403e-37
9.90106547356e-12,1.49165217194e-12,1.98377474246e-12,4.09018803529e-38,4.09018803529e-38,1.63607521412e-37
7.14085183352e-12,8.73039557463e-13,1.16116387276e-12,1.50917280832e-37,1.50917280832e-37,6.0366912333e-37
