SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
1.78148172122e-09,6.36873428283e-09,9.37958154989e-10,5.38529044631e-32,5.38529044631e-32,2.15411617852e-31
1.07061909329e-08,5.18935398758e-08,4.64830730573e-09,9.89400244524e-32,9.89400244524e-32,3.95760097809e-31
2.67843912417e-08,1.39921766942e-07,1.09302873617e-08,7.63552419836e-32,7.63552419836e-32,3.05420967934e-31
4.01845829572e-08,2.13094130909e-07,1.62794534151e-08,4.87798416476e-32,4.87798416476e-32,1.9511936659e-31
4.22170621754e-08,2.24094704795e-07,1.73017631819e-08,2.50262090916e-32,2.50262090916e-32,1.00104836366e-31
3.28646409059e-08,1.73390930114e-07,1.38579271001e-08,9.70272893659e-33,9.70272893659e-33,3.88109157464e-32
1.89154122252e-08,9.84106968496e-08,8.43681685923e-09,2.47150743417e-33,2.47150743417e-33,9.88602973669e-33
7.57922766423e-09,3.82111368784e-08,3.80196461067e-09,2.56856018614e-34,2.56856018614e-34,1.02742407445e-33
1.78506902309e-09,8.05111146696e-09,1.19446451859e-09,5.75459547977e-36,5.75459547977e-36,2.30183819191e-35
2.18798082996e-10,2.67553971144e-10,2.61406203248e-10,7.38041017267e-35,7.38041017267e-35,2.95216406907e-34
2.61215995485e-10,6.62089089956e-10,8.57082917608e-11,5.20939423364e-35,5.20939423364e-35,2.08375769346e-34
3.40158813352e-10,1.08076311499e-09,5.76968846248e-11,8.55535396298e-36,8.55535396298e-36,3.42214158519e-35
2.09645375943e-10,4.73303384887e-10,2.21146324923e-11,8.17047163378e-37,8.17047163378e-37,3.26818865351e-36
9.25014474961e-11,4.35747385563e-11,6.54632725173e-12,7.13719235061e-36,7.13719235061e-36,2.85487694024e-35
6.92121201384e-11,8.60775513761e-11,1.49790467388e-11,5.64322039482e-36,5.64322039482e-36,2.25728815793e-35
7.16929424395e-11,1.61639675222e-10,1.98270001289e-11,9.09074203166e-37,9.09074203166e-37,3.63629681267e-36
5.84828543102e-11,8.67428134377e-11,1.24992357076e-11,2.30564740129e-37,2.30564740129e-37,9.22258960517e-37
4.48593581796e-11,1.05797820532e-11,4.8563913993e-12,1.43034857431e-36,1.43034857431e-36,5.72139429725e-36
4.12337863447e-11,1.64463018173e-11,3.52963339731e-12,1.1162962769e-36,1.1162962769e-36,4.46518510762e-36
3.6598452187e-11,3.63113308132e-11,4.33294763898e-12,1.5426865556e-37,1.5426865556e-37,6.17074622238e-37
2.53051946658e-11,2.25112500526e-11,3.54650736273e-12,8.87341682511e-38,8.87341682511e-38,3.54936673005e-37
1.4948612259e-11,3.26668888544e-12,2.30576364436e-12,4.15073032781e-37,4.15073032781e-37,1.66029213112e-36
1.08734269989e-11,2.24955533187e-12,1.93760213556e-12,3.05392079165e-37,3.05392079165e-37,1.22156831666e-36
9.8413953597e-12,5.75690511951e-12,1.71069605789e-12,3.29831631008e-38,3.29831631008e-38,1.31932652403e-37
