SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,2.44059096108e-06,1.54697314348e-06,7.39519109901e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,1.00961368641e-05,7.05869974408e-06,4.39735986629e-05
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,2.17955873836e-05,1.60323836364e-05,0.000110029433804
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,3.14084749169e-05,2.36421586738e-05,0.000166090248804
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,3.25205362218e-05,2.50262657804e-05,0.000176489123972
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,2.51824420064e-05,2.00021029404e-05,0.000140048588218
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,1.45922895291e-05,1.21620204204e-05,8.33169447218e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,6.31691135978e-06,5.48522857351e-06,3.55304729624e-05
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,2.62145007941e-06,1.74994450496e-06,9.56162806092e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,2.33938633923e-06,4.31753693833e-07,1.26472816159e-06
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,3.10808945777e-06,1.93275549798e-07,5.6208019553e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,3.3778779181e-06,1.48617621537e-07,8.3267725903e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,2.87635264333e-06,7.90496153639e-08,5.18089480581e-07
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,2.01122307055e-06,3.6281191372e-08,1.62714151637e-07
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,1.22703721472e-06,3.5098754661e-08,6.85398353835e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,7.5538910452e-07,3.65705752406e-08,7.84055362812e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,6.23196529404e-07,2.37803495345e-08,8.28970894823e-08
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,7.20339174943e-07,1.01381275091e-08,1.09098377601e-07
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,8.83140949706e-07,5.20745024719e-09,1.50705035022e-07
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,9.87527984557e-07,4.70555999345e-09,1.59105819257e-07
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,9.99821442232e-07,3.8619423747e-09,1.3822544772e-07
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,9.5422893185e-07,3.3208868468e-09,1.34342027049e-07
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,8.96734385524e-07,3.94192973756e-09,1.5683472645e-07
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,8.5143016523e-07,4.46411060469e-09,1.70676782197e-07
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,8.20146209165e-07,4.24215695792e-09,1.54830393382e-07
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,7.93065507869e-07,4.00799982852e-09,1.26545932328e-07
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,7.56955551904e-07,3.96810371979e-09,1.09542223194e-07
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,7.03578705514e-07,3.57568448133e-09,1.05513624289e-07
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,6.37420060335e-07,3.00885711971e-09,1.02010831865e-07
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,5.74215720881e-07,3.15881315447e-09,9.25782774625e-08
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,5.28336631845e-07,4.15052658981e-09,8.16956813256e-08
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,4.99844029731e-07,5.03077244502e-09,7.60867712603e-08
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,4.73548308037e-07,5.01427384753e-09,7.6371430721e-08
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,4.31012265219e-07,4.28658499333e-09,7.63948258274e-08
2.58737689452e-40,1.03495075781e-39,1.03495075781e-39,3.64882800588e-07,3.49774373356e-09,6.94440779033e-08
5.30789928196e-42,2.12315971278e-41,2.12315971278e-41,2.83847228385e-07,3.02058531684e-09,5.52038233047e-08
1.12272850234e-40,4.49091400935e-40,4.49091400935e-40,2.05413663265e-07,2.83935424878e-09,4.00390649178e-08
2.39590478668e-40,9.58361914672e-40,9.58361914672e-40,1.43813947872e-07,2.78517361351e-09,3.0154510323e-08
1.16913810728e-40,4.67655242912e-40,4.67655242912e-40,1.02877657693e-07,2.69027327111e-09,2.58392613525e-08
4.43456129186e-43,1.77382451674e-42,1.77382451674e-42,7.76231352259e-08,2.47313778763e-09,2.31229321972e-08
7.06439919228e-41,2.82575967691e-40,2.82575967691e-40,6.05660072915e-08,2.19165933384e-09,1.92514615966e-08
1.2985311739e-40,5.1941246956e-40,5.1941246956e-40,4.66258950965e-08,1.970143497e-09,1.47672320878e-08
5.54409306806e-41,2.21763722722e-40,2.21763722722e-40,3.4125865129e-08,1.86172407572e-09,1.12215606879e-08
6.15284044576e-44,2.46113617831e-43,2.46113617831e-43,2.33686592349e-08,1.81892277604e-09,8.94965266672e-09
4.61312208562e-41,1.84524883425e-40,1.84524883425e-40,1.50565220098e-08,1.76651699876e-09,7.33062757078e-09
7.37692815892e-41,2.95077126357e-40,2.95077126357e-40,9.48395276626e-09,1.65083505714e-09,5.94162558118e-09
2.71592195814e-41,1.08636878326e-40,1.08636878326e-40,6.38432470084e-09,1.45500682039e-09,4.84412370995e-09
5.73933709755e-43,2.29573483902e-42,2.29573483902e-42,5.12856432732e-09,1.22660985475e-09,4.19613269358e-09
3.1029699754e-41,1.24118799016e-40,1.24118799016e-40,5.02638944206e-09,1.06368350507e-09,3.94240420017e-09
4.3483387248e-41,1.73933548992e-40,1.73933548992e-40,5.52634250286e-09,1.01537820678e-09,3.78033654759e-09
1.35587400839e-41,5.42349603358e-41,5.42349603358e-41,6.25482078005e-09,1.00993197134e-09,3.3819724128e-09
1.06699268183e-42,4.26797072732e-42,4.26797072732e-42,6.96290714405e-09,9.27653778953e-10,2.73107244033e-09
2.13773134734e-41,8.55092538934e-41,8.55092538934e-41,7.44797690061e-09,7.38932664165e-10,2.16067660237e-09
2.63862902501e-41,1.05545161e-40,1.05545161e-40,7.51083453492e-09,5.37897372584e-10,1.94807360685e-09
6.80884503456e-42,2.72353801382e-41,2.72353801382e-41,7.03907893745e-09,4.51568289468e-10,1.98480187333e-09
1.36710014845e-42,5.46840059382e-42,5.46840059382e-42,6.20453390446e-09,5.4776793644e-10,1.96722630218e-09
1.5017382434e-41,6.00695297361e-41,6.00695297361e-41,5.55207627023e-09,8.17677481722e-10,1.78409751057e-09
1.63796073938e-41,6.55184295753e-41,6.55184295753e-41,5.75931253145e-09,1.1984257379e-09,1.55897728794e-09
3.3912375538e-42,1.35649502152e-41,1.35649502152e-41,7.17088968257e-09,1.59153795448e-09,1.4028198595e-09
1.49214832643e-42,5.96859330573e-42,5.96859330573e-42,9.49721858443e-09,1.88486187608e-09,1.29495735366e-09
1.07191173838e-41,4.28764695351e-41,4.28764695351e-41,1.19505107485e-08,1.99330150416e-09,1.18044121196e-09
1.03473866552e-41,4.13895466206e-41,4.13895466206e-41,1.36953241566e-08,1.90059567817e-09,1.05179050323e-09
1.64635460739e-42,6.58541842954e-42,6.58541842954e-42,1.42518188182e-08,1.66966119287e-09,9.22440264884e-10
1.49525619216e-42,5.98102476865e-42,5.98102476865e-42,1.36166911338e-08,1.40795062825e-09,7.94258035461e-10
7.75149829173e-42,3.10059931669e-41,3.10059931669e-41,1.2151771245e-08,1.20745139698e-09,6.62670518788e-10
6.62234169797e-42,2.64893667919e-41,2.64893667919e-41,1.04138430205e-08,1.10238870823e-09,5.2098486257e-10
7.60069472622e-43,3.04027789049e-42,3.04027789049e-42,8.99784649921e-09,1.07538268933e-09,3.70324021396e-10
1.42375537323e-42,5.69502149292e-42,5.69502149292e-42,8.35282349596e-09,1.09704270845e-09,2.45930467234e-10
5.66525091757e-42,2.26610036703e-41,2.26610036703e-41,8.58707314956e-09,1.15449052816e-09,2.06461590307e-10
4.27667151527e-42,1.71066860611e-41,1.71066860611e-41,9.40913813303e-09,1.24697857107e-09,2.6977005772e-10
3.20346179963e-43,1.28138471985e-42,1.28138471985e-42,1.03194642119e-08,1.36754334441e-09,3.80288759587e-10
1.31179192095e-42,5.2471676838e-42,5.2471676838e-42,1.09469130047e-08,1.49668085964e-09,4.61713182473e-10
4.17598448095e-42,1.67039379238e-41,1.67039379238e-41,1.1263155962e-08,1.61245729357e-09,4.83942330986e-10
2.77645233486e-42,1.11058093394e-41,1.11058093394e-41,1.15095030504e-08,1.70771858939e-09,4.65837980387e-10
