SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,1.62745614821e-06,2.40771627185e-06,6.15635580914e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,5.62833466036e-06,1.05224918428e-05,3.1418552453e-05
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,1.10749174617e-05,2.33979046566e-05,7.45210826552e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,1.58909148917e-05,3.41883319094e-05,0.00011067796818
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,1.71179922575e-05,3.58719224261e-05,0.000116496977213
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,1.44117701562e-05,2.82740598879e-05,9.15246298075e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,9.69182647868e-06,1.67246115463e-05,5.36122685197e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,5.31874353262e-06,7.0714751982e-06,2.21643593353e-05
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,2.55069485671e-06,1.87020814914e-06,5.48786968478e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,1.30404615825e-06,2.48504881499e-07,5.09661420987e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,8.79284298304e-07,1.41979364073e-07,3.35409807523e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,7.07147741164e-07,2.0324034897e-07,5.73668827255e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,5.79325637224e-07,1.31207429321e-07,3.26994985704e-07
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,4.92045860248e-07,5.47760187949e-08,7.69888165199e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,4.59842566739e-07,3.77265182638e-08,4.36232992889e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,4.63343104981e-07,3.67674582279e-08,7.53327876898e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,4.75860997666e-07,2.32360707206e-08,6.71617985543e-08
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,4.83124864928e-07,1.06780685788e-08,5.36848469393e-08
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,4.81106460452e-07,9.85089334827e-09,6.38246405704e-08
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,4.71667147916e-07,1.25398425332e-08,7.26119810764e-08
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,4.61315077957e-07,1.08450731939e-08,6.29629512025e-08
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,4.56919517671e-07,6.93962578852e-09,4.99820276141e-08
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,4.59521451682e-07,4.58347894561e-09,4.79575948501e-08
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,4.62823457803e-07,3.42557306496e-09,5.28347111783e-08
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,4.57568406236e-07,2.38572211041e-09,5.69052480528e-08
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,4.37221934351e-07,2.03510514156e-09,5.89420673701e-08
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,4.00942529274e-07,2.58051046437e-09,5.86153914574e-08
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,3.53030314624e-07,2.93588132461e-09,5.3666292436e-08
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,3.0007671572e-07,2.47547677772e-09,4.46367424723e-08
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,2.47954879483e-07,1.80436002053e-09,3.56633897612e-08
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,2.00501719283e-07,1.50388898934e-09,2.94764133089e-08
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,1.59879341057e-07,1.38658912022e-09,2.53375380907e-08
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,1.27057757896e-07,1.1683948265e-09,2.18550068077e-08
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,1.01610939339e-07,9.63217774947e-10,1.88123527327e-08
2.58737689452e-40,1.03495075781e-39,1.03495075781e-39,8.16966957093e-08,9.06591936329e-10,1.61362724891e-08
5.30789928196e-42,2.12315971278e-41,2.12315971278e-41,6.50488196309e-08,8.75432694053e-10,1.33513033077e-08
