SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,2.52637910292e-07,6.76532594673e-07,5.06450759435e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,2.43020922843e-06,4.64972673577e-06,1.52058301649e-05
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,6.9014206816e-06,1.21434838521e-05,2.65643980803e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,1.10169420035e-05,1.85909790687e-05,3.57725745956e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,1.24091087214e-05,1.99544228608e-05,3.64597631008e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,1.07017082622e-05,1.6015698458e-05,2.85519349732e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,7.28474888869e-06,9.68111086985e-06,1.70502018415e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,3.95505832307e-06,4.23289928253e-06,7.44080671083e-06
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,1.7375978566e-06,1.18623875497e-06,2.15063160529e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,6.65128063139e-07,1.53926325301e-07,3.81340843573e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,2.79615999442e-07,3.60579662863e-08,1.69694596103e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,1.67470039875e-07,7.11450804154e-08,1.92238597342e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,1.39066657284e-07,5.11754132514e-08,1.16091788085e-07
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,1.41726564191e-07,1.89280439834e-08,4.19582255818e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,1.51953654357e-07,7.84099776508e-09,2.80512729013e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,1.5008893133e-07,5.89734445746e-09,3.21500189147e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,1.32881824264e-07,4.28867595407e-09,2.20575231247e-08
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,1.11376351383e-07,6.91031359433e-09,8.1785408545e-09
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,9.6145880555e-08,1.26115622498e-08,3.98967478949e-09
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,9.00547992103e-08,1.42075401549e-08,6.29716046106e-09
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,9.06374588423e-08,9.92248733086e-09,8.7003011588e-09
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,9.35307058709e-08,4.61307327988e-09,1.08158190116e-08
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,9.43007638456e-08,1.93834481639e-09,1.30671799051e-08
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,9.04397532096e-08,1.31754361105e-09,1.33621187878e-08
