SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,1.23728174894e-07,5.34312324667e-07,1.28317562842e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,4.92039298858e-07,3.00905167172e-06,9.56330587867e-06
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,1.04316239207e-06,7.3867279553e-06,2.53558191408e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,1.50597699603e-06,1.1060686657e-05,3.86486814152e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,1.58738314968e-06,1.16598935847e-05,4.09461817481e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,1.28727714495e-06,9.1443220894e-06,3.21365925868e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,8.28883857879e-07,5.32910885885e-06,1.87204765337e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,4.43533465867e-07,2.17938274723e-06,7.66863065898e-06
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,2.22180019906e-07,5.27416706226e-07,1.8794230282e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,1.262698538e-07,5.07096702311e-08,1.80547471645e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,8.40544398129e-08,4.56232793317e-08,1.13806254828e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,5.67785477764e-08,7.01448883118e-08,1.72809795416e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,3.82312634378e-08,4.01905847618e-08,8.22129493365e-08
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,2.82928331227e-08,9.99842568386e-09,9.70902271582e-09
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,2.21884624614e-08,3.70335590659e-09,9.13417372758e-09
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,1.63468685258e-08,5.34447330235e-09,1.78847304433e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,1.22366197327e-08,3.28279176864e-09,8.45201575771e-09
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,1.2294482982e-08,6.96288409658e-10,2.13217908088e-09
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,1.6034557072e-08,8.17078480952e-10,7.88048037723e-09
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,2.13668980505e-08,1.50804342209e-09,1.22762884037e-08
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,2.72967537172e-08,1.04465627471e-09,9.06424115811e-09
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,3.37215293027e-08,4.68212366236e-10,5.93754674608e-09
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,3.95824896021e-08,5.94352257898e-10,7.83037633122e-09
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,4.26546435895e-08,7.65903537947e-10,1.07039236485e-08
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,4.12572208149e-08,5.33897639014e-10,1.04657801503e-08
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,3.56382897377e-08,3.49612242022e-10,8.21045239927e-09
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,2.76673952273e-08,5.04291277101e-10,6.3450007679e-09
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,1.95387269079e-08,6.69535011844e-10,5.18263714287e-09
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,1.27996267383e-08,5.84732147299e-10,4.17390240909e-09
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,8.21035703002e-09,4.1382501272e-10,3.36993722341e-09
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,6.06641154579e-09,3.39858858656e-10,2.91687018187e-09
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,6.40696599232e-09,3.12259922023e-10,2.69387883669e-09
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,8.90100481513e-09,2.65921938529e-10,2.76436885577e-09
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,1.26908053948e-08,2.54179338484e-10,3.25463841252e-09
