SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,7.41521874487e-08,3.26873417337e-07,2.00781361153e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,2.47778724364e-07,1.60598450508e-06,7.85048832416e-06
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,4.75596117955e-07,3.74493236452e-06,1.64992462834e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,6.76689686363e-07,5.51507484385e-06,2.37315677739e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,7.29738308514e-07,5.75758377125e-06,2.48052738092e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,6.23597149302e-07,4.47882423199e-06,1.95824681688e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,4.37988705782e-07,2.59325747447e-06,1.1650600786e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,2.6539106791e-07,1.0639340273e-06,4.97858893405e-06
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,1.50743181224e-07,2.76180823492e-07,1.33411389378e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,8.80591305771e-08,5.04112695902e-08,1.59395437307e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,5.30490647943e-08,3.91332590099e-08,5.97595141226e-08
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,3.01238103377e-08,3.80809729956e-08,1.01582575589e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,1.58304584568e-08,1.73033530614e-08,5.88686927931e-08
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,9.71068303889e-09,4.16365323039e-09,1.09316596333e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,8.68913494213e-09,4.54504220848e-09,3.49004364414e-09
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,8.62974561849e-09,6.21182059105e-09,9.41309694967e-09
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,7.38896322632e-09,3.70261339891e-09,6.94143408682e-09
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,5.1811202082e-09,8.39388128687e-10,2.00439831315e-09
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,3.06965224491e-09,3.48045838366e-10,1.66296926174e-09
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,1.77546056744e-09,7.88313012205e-10,2.68076501039e-09
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,1.40198123977e-09,6.42618399531e-10,1.74137747695e-09
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,1.60076317358e-09,2.55840287041e-10,5.42712759461e-10
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,1.87284799485e-09,2.00382032119e-10,6.81662268657e-10
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,1.90237693131e-09,2.75501916385e-10,1.03761909568e-09
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,1.70542296739e-09,2.25640033734e-10,6.55387561562e-10
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,1.4795743867e-09,1.79639635057e-10,2.38442731492e-10
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,1.35935796424e-09,2.33120081539e-10,3.86447745475e-10
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,1.33395737458e-09,2.55803890106e-10,6.26419468156e-10
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,1.3268955939e-09,1.92141612782e-10,5.05324578354e-10
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,1.27895136465e-09,1.62476709997e-10,2.75224526378e-10
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,1.16641688752e-09,2.22226778529e-10,2.54670160613e-10
