SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,5.15972179064e-07,3.56242002707e-07,5.4689000074e-07
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,3.57106821388e-06,2.70993451771e-06,4.17576009874e-06
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,9.27908581663e-06,7.21089662517e-06,1.11054133017e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,1.40218712874e-05,1.09804881861e-05,1.68676723429e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,1.47276370429e-05,1.16002612884e-05,1.77362491064e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,1.14231026668e-05,9.06426430267e-06,1.37429187935e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,6.53491104191e-06,5.25101389939e-06,7.829551993e-06
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,2.59959267085e-06,2.14673250238e-06,3.07111802498e-06
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,6.12272082911e-07,5.49428501143e-07,6.74219619756e-07
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,8.03536104497e-08,9.40342987281e-08,4.21991694043e-08
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,8.530251013e-08,7.11559986372e-08,6.09950989218e-08
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,9.93631246099e-08,6.73063995038e-08,8.83583193796e-08
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,5.43914508736e-08,2.61126043574e-08,3.90248028194e-08
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,2.62429282983e-08,4.91659740589e-09,5.22697804242e-09
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,2.96319776762e-08,1.28796743038e-08,8.73311068642e-09
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,3.2113923318e-08,2.08485162348e-08,1.46013230781e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,2.12276870981e-08,1.57193248137e-08,8.58074984599e-09
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,9.54891511234e-09,6.5850762294e-09,2.70284360976e-09
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,5.78185705609e-09,1.89637073102e-09,3.54662647888e-09
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,6.30812141363e-09,8.41768337368e-10,5.44275227299e-09
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,6.33426230882e-09,5.82969792344e-10,4.27937577429e-09
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,5.74101955107e-09,7.75245787937e-10,2.25182541268e-09
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,5.58120946279e-09,1.4723317061e-09,1.60408828022e-09
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,5.66440894776e-09,1.81952817783e-09,1.73965780691e-09
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,5.8302370949e-09,1.43352359974e-09,1.9687406207e-09
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,6.37852983158e-09,8.90925850811e-10,2.7024241844e-09
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,6.98066825773e-09,6.40272016194e-10,3.82402146975e-09
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,6.79937469507e-09,5.63929592592e-10,4.32362317626e-09
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,5.7376727754e-09,5.60772631475e-10,3.77541273429e-09
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,4.60326489817e-09,7.39471397572e-10,2.85492242973e-09
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,4.08923222712e-09,1.02871210741e-09,2.32635719097e-09
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,4.23465224329e-09,1.14405223746e-09,2.36055859785e-09
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,4.77136221741e-09,9.84135447863e-10,2.82877773657e-09
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,5.43483621382e-09,7.32721690749e-10,3.5887776451e-09
2.58737689452e-40,1.03495075781e-39,1.03495075781e-39,5.92471265647e-09,5.68151052865e-10,4.37876329042e-09
5.30789928196e-42,2.12315971278e-41,2.12315971278e-41,5.97002586599e-09,5.06430210452e-10,4.85627675361e-09
1.12272850234e-40,4.49091400935e-40,4.49091400935e-40,5.54879938125e-09,5.16367519896e-10,4.88316523591e-09
2.39590478668e-40,9.58361914672e-40,9.58361914672e-40,4.877208012e-09,5.91160849692e-10,4.59994665259e-09
