SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
4.39948007663e-10,1.27235791739e-08,1.9722272377e-09,5.38529044631e-32,5.38529044631e-32,2.15411617852e-31
3.44182519849e-09,1.58403189219e-07,6.42091471628e-09,9.89400244524e-32,9.89400244524e-32,3.95760097809e-31
9.2448554669e-09,4.58484868029e-07,1.20249736438e-08,7.63552419836e-32,7.63552419836e-32,3.05420967934e-31
1.41845257713e-08,7.11213679677e-07,1.67478270926e-08,4.87798416476e-32,4.87798416476e-32,1.9511936659e-31
1.5139418603e-08,7.5570308805e-07,1.74735381822e-08,2.50262090916e-32,2.50262090916e-32,1.00104836366e-31
1.20091709813e-08,5.90584395309e-07,1.40082213876e-08,9.70272893659e-33,9.70272893659e-33,3.88109157464e-32
7.11715329293e-09,3.39710747945e-07,8.61144625417e-09,2.47150743417e-33,2.47150743417e-33,9.88602973669e-33
3.01391992394e-09,1.34948202646e-07,3.90927966477e-09,2.56856018614e-34,2.56856018614e-34,1.02742407445e-33
8.11142258444e-10,3.00459530408e-08,1.18680703326e-09,5.75459547977e-36,5.75459547977e-36,2.30183819191e-35
1.32646738755e-10,1.46321249207e-09,1.9615673779e-10,7.38041017267e-35,7.38041017267e-35,2.95216406907e-34
9.3005007074e-11,2.02524280543e-09,4.68170109871e-11,5.20939423364e-35,5.20939423364e-35,2.08375769346e-34
1.20064866347e-10,3.55050797626e-09,6.96732331136e-11,8.55535396298e-36,8.55535396298e-36,3.42214158519e-35
8.83638597763e-11,1.64812215773e-09,5.08748356573e-11,8.17047163378e-37,8.17047163378e-37,3.26818865351e-36
5.19698592819e-11,1.28417516616e-10,1.63370428973e-11,7.13719235061e-36,7.13719235061e-36,2.85487694024e-35
3.72544999421e-11,1.68462307252e-10,2.89037698207e-12,5.64322039482e-36,5.64322039482e-36,2.25728815793e-35
2.83942209733e-11,4.30736067008e-10,3.22765616318e-12,9.09074203166e-37,9.09074203166e-37,3.63629681267e-36
1.66916065674e-11,2.46148760002e-10,3.29370257459e-12,2.30564740129e-37,2.30564740129e-37,9.22258960517e-37
8.51573862794e-12,2.55805373868e-11,2.32827565291e-12,1.43034857431e-36,1.43034857431e-36,5.72139429725e-36
6.53325633512e-12,3.9160802064e-11,2.90741289364e-12,1.1162962769e-36,1.1162962769e-36,4.46518510762e-36
5.92460222562e-12,9.6393332618e-11,3.59218325629e-12,1.5426865556e-37,1.5426865556e-37,6.17074622238e-37
3.82285865644e-12,5.60458891871e-11,2.77345924867e-12,8.87341682511e-38,8.87341682511e-38,3.54936673005e-37
1.98302435744e-12,5.3125485384e-12,1.44686821227e-12,4.15073032781e-37,4.15073032781e-37,1.66029213112e-36
1.75473664387e-12,1.38299965221e-11,8.29499992614e-13,3.05392079165e-37,3.05392079165e-37,1.22156831666e-36
2.01772581283e-12,3.15185963247e-11,6.93551465158e-13,3.29831631008e-38,3.29831631008e-38,1.31932652403e-37
1.71699690241e-12,1.80753961273e-11,5.73694839899e-13,4.09018803529e-38,4.09018803529e-38,1.63607521412e-37
1.23309809723e-12,1.8919705448e-12,6.55799499671e-13,1.50917280832e-37,1.50917280832e-37,6.0366912333e-37
1.09361238108e-12,6.07719956382e-12,1.08142002908e-12,1.02261344911e-37,1.02261344911e-37,4.09045379644e-37
1.11444533666e-12,1.29231570061e-11,1.49513244747e-12,7.77785655697e-39,7.77785655697e-39,3.11114262279e-38
1.02991551487e-12,8.19776136632e-12,1.57324958398e-12,2.12241961726e-38,2.12241961726e-38,8.48967846906e-38
9.44356887209e-13,2.84347140549e-12,1.38761775406e-12,6.38285717989e-38,6.38285717989e-38,2.55314287196e-37
9.74132344491e-13,5.17643842262e-12,1.11538408869e-12,3.92321734732e-38,3.92321734732e-38,1.56928693893e-37
1.02835781521e-12,7.52345706736e-12,8.05673675446e-13,1.79897848971e-39,1.79897848971e-39,7.19591395883e-39
1.04741045435e-12,4.52809509159e-12,5.12812381862e-13,1.19732564378e-38,1.19732564378e-38,4.78930257512e-38
1.0952451693e-12,1.55906183743e-12,3.53767485674e-13,3.00624056498e-38,3.00624056498e-38,1.20249622599e-37
1.16651452283e-12,2.21526630544e-12,3.45825882406e-13,1.65592121249e-38,1.65592121249e-38,6.62368484996e-38
1.14745684318e-12,2.90582016973e-12,3.75172155541e-13,3.39705554045e-40,3.39705554045e-40,1.35882221618e-39
9.94944884108e-13,1.52698710991e-12,3.78589827298e-13,7.18546241497e-39,7.18546241497e-39,2.87418496599e-38
