SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,1.7499236236e-07,1.50925266807e-07,4.02717555385e-07
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,1.13994218741e-06,1.56839523721e-06,2.92784566265e-06
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,2.93884207301e-06,4.43967189297e-06,7.71861301887e-06
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,4.49858439055e-06,6.89348908622e-06,1.17479997415e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,4.85970666412e-06,7.39495532229e-06,1.24282012797e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,3.96871074897e-06,5.89643074376e-06,9.71847451388e-06
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,2.50583885164e-06,3.53594894759e-06,5.60350468478e-06
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,1.23285649863e-06,1.55475820016e-06,2.22698363849e-06
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,4.96255969994e-07,4.86627033371e-07,4.88129265561e-07
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,2.08134834628e-07,1.44886345249e-07,2.13439140299e-08
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,1.28422892846e-07,1.05152937837e-07,4.93064145944e-08
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,9.96938253266e-08,1.00279458912e-07,9.03780222979e-08
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,8.23446449133e-08,7.54957980618e-08,6.11224815813e-08
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,7.93775674137e-08,5.4980710512e-08,2.88392589845e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,8.44809162919e-08,4.57085803858e-08,2.28809270932e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,8.56699430298e-08,3.65477028902e-08,2.52573526384e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,8.1214067183e-08,2.40858102399e-08,2.29002949917e-08
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,7.75858295297e-08,1.41974220719e-08,2.01128048502e-08
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,7.88421681758e-08,1.00410901918e-08,2.09229186978e-08
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,8.3836225705e-08,9.15797880031e-09,2.2667486535e-08
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,9.04991913609e-08,8.78123314796e-09,2.36787842936e-08
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,9.8217653687e-08,8.45715357589e-09,2.63682687994e-08
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,1.06144382956e-07,8.43830686177e-09,3.21533036478e-08
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,1.1169963803e-07,8.55383568512e-09,3.83740163105e-08
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,1.11756681694e-07,8.68350405329e-09,4.12447112867e-08
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,1.04824315455e-07,8.86394685613e-09,3.95321682595e-08
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,9.18703104198e-08,8.80816023445e-09,3.46851161978e-08
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,7.54451928811e-08,8.04400962787e-09,2.87607946647e-08
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,5.82812014642e-08,6.54475036915e-09,2.3000044236e-08
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,4.24603006858e-08,4.80159596889e-09,1.78127640047e-08
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,2.93140597369e-08,3.30799511099e-09,1.33623846321e-08
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,1.95243779666e-08,2.24716668408e-09,9.90568069008e-09
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,1.30489274861e-08,1.60301257679e-09,7.6287541871e-09
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,9.11240135775e-09,1.29520665049e-09,6.33767111195e-09
2.58737689452e-40,1.03495075781e-39,1.03495075781e-39,6.61703900912e-09,1.18238746771e-09,5.52168658625e-09
5.30789928196e-42,2.12315971278e-41,2.12315971278e-41,4.75523674304e-09,1.1093179938e-09,4.76723386933e-09
1.12272850234e-40,4.49091400935e-40,4.49091400935e-40,3.25857249589e-09,1.01143426076e-09,4.0006256103e-09
