SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,5.09925955612e-07,1.13299823277e-06,4.1104800283e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,2.39372759709e-06,3.76442113515e-06,2.12925829906e-05
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,5.54825193065e-06,7.14500171593e-06,5.08252288489e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,8.36001220388e-06,9.97427943545e-06,7.57296355832e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,9.17311006332e-06,1.03944161458e-05,8.00173163323e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,7.85434649678e-06,8.33755166662e-06,6.32727301564e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,5.52679218942e-06,5.1869032358e-06,3.75371962714e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,3.47516708548e-06,2.48239489977e-06,1.59769313638e-05
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,2.28567637203e-06,9.23354342633e-07,4.31775186034e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,1.79077935622e-06,3.20658009892e-07,6.16556598853e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,1.55288518709e-06,1.64392318467e-07,3.03992557471e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,1.29491664463e-06,1.1132379816e-07,4.09103014404e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,9.84648824778e-07,7.06052825664e-08,2.49003822213e-07
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,6.95325369197e-07,5.25009561636e-08,7.52475564816e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,4.7826930461e-07,5.22574527166e-08,2.17242920306e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,3.3756931853e-07,4.79660363568e-08,1.71996831351e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,2.5808559887e-07,3.28223994948e-08,1.44783224865e-08
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,2.27622903677e-07,1.65181802878e-08,2.63570761952e-08
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,2.41086808571e-07,6.99748237547e-09,4.93678218702e-08
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,2.95134700469e-07,3.3752128679e-09,6.26642045154e-08
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,3.78382590991e-07,2.00943257472e-09,6.94512980544e-08
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,4.64431302449e-07,1.39975052389e-09,8.76688634275e-08
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,5.18395927234e-07,1.32747517111e-09,1.13462929129e-07
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,5.16117432905e-07,1.35108101495e-09,1.23452103939e-07
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,4.59367823634e-07,1.17889933708e-09,1.0718803263e-07
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,3.72462721913e-07,1.01648573698e-09,7.83388914154e-08
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,2.8445674067e-07,1.04066303094e-09,5.5264859237e-08
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,2.13753912004e-07,1.15342712827e-09,4.32342597995e-08
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,1.65720834468e-07,1.30938629988e-09,3.68428645308e-08
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,1.39295237351e-07,1.58201496795e-09,3.11036913828e-08
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,1.32348591444e-07,1.86556245094e-09,2.62018633862e-08
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,1.41232891646e-07,1.88313781346e-09,2.47387997525e-08
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,1.58298834718e-07,1.55754570526e-09,2.74638640611e-08
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,1.73100405077e-07,1.1352021279e-09,3.17962249988e-08
2.58737689452e-40,1.03495075781e-39,1.03495075781e-39,1.7797337529e-07,8.87337840308e-10,3.41625626917e-08
5.30789928196e-42,2.12315971278e-41,2.12315971278e-41,1.73041844015e-07,8.47891779794e-10,3.37523488038e-08
1.12272850234e-40,4.49091400935e-40,4.49091400935e-40,1.65522747335e-07,8.86494713763e-10,3.32783606835e-08
2.39590478668e-40,9.58361914672e-40,9.58361914672e-40,1.63516512536e-07,9.15200706492e-10,3.5510767036e-08
1.16913810728e-40,4.67655242912e-40,4.67655242912e-40,1.69693237534e-07,9.61674839369e-10,3.98626027983e-08
4.43456129186e-43,1.77382451674e-42,1.77382451674e-42,1.80110111878e-07,1.09818529236e-09,4.32776593807e-08
7.06439919228e-41,2.82575967691e-40,2.82575967691e-40,1.88330520981e-07,1.34203629833e-09,4.38660882781e-08
1.2985311739e-40,5.1941246956e-40,5.1941246956e-40,1.90453372752e-07,1.6078141451e-09,4.24991493299e-08
5.54409306806e-41,2.21763722722e-40,2.21763722722e-40,1.86828789087e-07,1.75158027981e-09,4.09667831293e-08
6.15284044576e-44,2.46113617831e-43,2.46113617831e-43,1.80070091366e-07,1.68512934149e-09,3.97497037672e-08
4.61312208562e-41,1.84524883425e-40,1.84524883425e-40,1.72142505073e-07,1.45204513713e-09,3.81017228406e-08
7.37692815892e-41,2.95077126357e-40,2.95077126357e-40,1.63168395652e-07,1.18048352278e-09,3.56383915383e-08
2.71592195814e-41,1.08636878326e-40,1.08636878326e-40,1.52271230557e-07,9.68943029457e-10,3.30547032981e-08
5.73933709755e-43,2.29573483902e-42,2.29573483902e-42,1.39022804057e-07,8.29766402719e-10,3.12289319853e-08
3.1029699754e-41,1.24118799016e-40,1.24118799016e-40,1.24136681596e-07,7.24135985525e-10,3.00574503705e-08
4.3483387248e-41,1.73933548992e-40,1.73933548992e-40,1.09147469994e-07,6.18534825557e-10,2.84965034295e-08
1.35587400839e-41,5.42349603358e-41,5.42349603358e-41,9.56078574698e-08,5.04516180568e-10,2.57400594569e-08
1.06699268183e-42,4.26797072732e-42,4.26797072732e-42,8.44050040407e-08,3.9040170894e-10,2.21601233383e-08
2.13773134734e-41,8.55092538934e-41,8.55092538934e-41,7.55217170693e-08,2.92359606908e-10,1.89770194645e-08
2.63862902501e-41,1.05545161e-40,1.05545161e-40,6.82908065798e-08,2.29354644813e-10,1.71137157123e-08
6.80884503456e-42,2.72353801382e-41,2.72353801382e-41,6.19457274786e-08,2.15306219318e-10,1.65208352189e-08
1.36710014845e-42,5.46840059382e-42,5.46840059382e-42,5.609637446e-08,2.49050528026e-10,1.65235881297e-08
1.5017382434e-41,6.00695297361e-41,6.00695297361e-41,5.08293313371e-08,3.09188142585e-10,1.65337506006e-08
1.63796073938e-41,6.55184295753e-41,6.55184295753e-41,4.64583992143e-08,3.61622741383e-10,1.63119618494e-08
3.3912375538e-42,1.35649502152e-41,1.35649502152e-41,4.32317594046e-08,3.80188917986e-10,1.57775094716e-08
1.49214832643e-42,5.96859330573e-42,5.96859330573e-42,4.12494788356e-08,3.65040951404e-10,1.48760162759e-08
1.07191173838e-41,4.28764695351e-41,4.28764695351e-41,4.05489969616e-08,3.39274512426e-10,1.36997550642e-08
1.03473866552e-41,4.13895466206e-41,4.13895466206e-41,4.11291996535e-08,3.26245892543e-10,1.25940859133e-08
1.64635460739e-42,6.58541842954e-42,6.58541842954e-42,4.27993028739e-08,3.3255181408e-10,1.20154499998e-08
1.49525619216e-42,5.98102476865e-42,5.98102476865e-42,4.50003111467e-08,3.51796928604e-10,1.22372745002e-08
7.75149829173e-42,3.10059931669e-41,3.10059931669e-41,4.68553617418e-08,3.77024649623e-10,1.31571288535e-08
6.62234169797e-42,2.64893667919e-41,2.64893667919e-41,4.75324940792e-08,4.05077725016e-10,1.43447460879e-08
7.60069472622e-43,3.04027789049e-42,3.04027789049e-42,4.6701430663e-08,4.35042997298e-10,1.52769618263e-08
1.42375537323e-42,5.69502149292e-42,5.69502149292e-42,4.47232321369e-08,4.70674937227e-10,1.55912914749e-08
