SAX1,SAX2,SAX3,TAXX,TAXY,TAXZ
8.41451632236e-34,3.36580652894e-33,3.36580652894e-33,3.12566965088e-07,1.27853943143e-07,1.05761717965e-06
1.54593788207e-33,6.18375152827e-33,6.18375152827e-33,1.84274120983e-06,1.49987001756e-06,1.35924588417e-05
1.19305065599e-33,4.77220262398e-33,4.77220262398e-33,4.65683343126e-06,4.3125761941e-06,3.94479977172e-05
7.62185025744e-34,3.04874010298e-33,3.04874010298e-33,7.21056028966e-06,6.69542524115e-06,6.1096523734e-05
3.91034517056e-34,1.56413806822e-33,1.56413806822e-33,8.01336482104e-06,7.14463012296e-06,6.46843077222e-05
1.51605139634e-34,6.06420558537e-34,6.06420558537e-34,6.86476750555e-06,5.63628862468e-06,5.02455709937e-05
3.86173036589e-35,1.54469214636e-34,1.54469214636e-34,4.67601641403e-06,3.3109962531e-06,2.86111075641e-05
4.01337529084e-36,1.60535011633e-35,1.60535011633e-35,2.57947436136e-06,1.39020639429e-06,1.11600984575e-05
8.99155543714e-38,3.59662217486e-37,3.59662217486e-37,1.19226509996e-06,3.79706347621e-07,2.39427614956e-06
1.15318908948e-36,4.61275635792e-36,4.61275635792e-36,5.11128328531e-07,7.47815551432e-08,1.35438338197e-07
8.13967849007e-37,3.25587139603e-36,3.25587139603e-36,2.47999128131e-07,5.03778295173e-08,2.62081827266e-07
1.33677405672e-37,5.34709622686e-37,5.34709622686e-37,1.56196686453e-07,4.94855508198e-08,3.85069021095e-07
1.27663619278e-38,5.10654477111e-38,5.10654477111e-38,1.23607648644e-07,2.71263419116e-08,1.88847953486e-07
1.11518630478e-37,4.46074521913e-37,4.46074521913e-37,1.14305431525e-07,1.15121110353e-08,3.39512299948e-08
8.81753186691e-38,3.52701274676e-37,3.52701274676e-37,1.11299749143e-07,9.52859767014e-09,2.44056646449e-08
1.42042844245e-38,5.68171376979e-38,5.68171376979e-38,1.06226437609e-07,8.98603274268e-09,4.14682878232e-08
3.60257406452e-39,1.44102962581e-38,1.44102962581e-38,1.00831807384e-07,5.25151660583e-09,2.68652289704e-08
2.23491964736e-38,8.93967858946e-38,8.93967858946e-38,9.84646251343e-08,2.44856105341e-09,1.33237320888e-08
1.74421293266e-38,6.97685173065e-38,6.97685173065e-38,9.74895013992e-08,2.20035363347e-09,1.85743109128e-08
2.41044774312e-39,9.64179097247e-39,9.64179097247e-39,9.52031462844e-08,2.11422091419e-09,2.39061739529e-08
1.38647137892e-39,5.5458855157e-39,5.5458855157e-39,9.27796728451e-08,1.10622510658e-09,2.03325781455e-08
6.4855161372e-39,2.59420645488e-38,2.59420645488e-38,9.31405695835e-08,4.28316702709e-10,1.87460557078e-08
4.77175123695e-39,1.90870049478e-38,1.90870049478e-38,9.6633272604e-08,7.12257813152e-10,2.3992024096e-08
5.1536192345e-40,2.0614476938e-39,2.0614476938e-39,1.01253762127e-07,1.10492910616e-09,2.79855156248e-08
6.39091880514e-40,2.55636752205e-39,2.55636752205e-39,1.05689972947e-07,9.5372240598e-10,2.56784783138e-08
2.35808251301e-39,9.43233005203e-39,9.43233005203e-39,1.10114362424e-07,5.7460058438e-10,2.14040195168e-08
1.59783351423e-39,6.39133405693e-39,6.39133405693e-39,1.1446674516e-07,3.99747195493e-10,1.97820994737e-08
1.21529008703e-40,4.8611603481e-40,4.8611603481e-40,1.17483466309e-07,4.06434831294e-10,2.01239286246e-08
3.31628065198e-40,1.32651226079e-39,1.32651226079e-39,1.1762083473e-07,4.47688025423e-10,2.03123450943e-08
9.97321434359e-40,3.98928573743e-39,3.98928573743e-39,1.14237963226e-07,5.18113710071e-10,2.01003277257e-08
6.13002710518e-40,2.45201084207e-39,2.45201084207e-39,1.07814392399e-07,5.94167258075e-10,1.96147927747e-08
2.81090389017e-41,1.12436155607e-40,1.12436155607e-40,9.95501603771e-08,5.71865040203e-10,1.8237109949e-08
1.87082131841e-40,7.48328527363e-40,7.48328527363e-40,9.0881633772e-08,4.39221987923e-10,1.59101081266e-08
4.69725088278e-40,1.87890035311e-39,1.87890035311e-39,8.29503365374e-08,3.0862594007e-10,1.35978964976e-08
2.58737689452e-40,1.03495075781e-39,1.03495075781e-39,7.61760668047e-08,2.49603518911e-10,1.19801131102e-08
5.30789928196e-42,2.12315971278e-41,2.12315971278e-41,7.02970005832e-08,2.23926080984e-10,1.08720755296e-08
1.12272850234e-40,4.49091400935e-40,4.49091400935e-40,6.48264935857e-08,1.8920090691e-10,1.00174611616e-08
2.39590478668e-40,9.58361914672e-40,9.58361914672e-40,5.94364968925e-08,1.57348693079e-10,9.47530771637e-09
1.16913810728e-40,4.67655242912e-40,4.67655242912e-40,5.40084455062e-08,1.42024210707e-10,9.13998117183e-09
4.43456129186e-43,1.77382451674e-42,1.77382451674e-42,4.85580185039e-08,1.28592100388e-10,8.63225595538e-09
7.06439919228e-41,2.82575967691e-40,2.82575967691e-40,4.32460355302e-08,1.09614070824e-10,7.81215292509e-09
1.2985311739e-40,5.1941246956e-40,5.1941246956e-40,3.83928991015e-08,9.80849711323e-11,6.93513006719e-09
5.54409306806e-41,2.21763722722e-40,2.21763722722e-40,3.43586815617e-08,9.68256198249e-11,6.24052027469e-09
6.15284044576e-44,2.46113617831e-43,2.46113617831e-43,3.13487346166e-08,9.01452411478e-11,5.725084635e-09
4.61312208562e-41,1.84524883425e-40,1.84524883425e-40,2.92997575821e-08,7.06782280164e-11,5.33054165543e-09
7.37692815892e-41,2.95077126357e-40,2.95077126357e-40,2.79077904667e-08,5.04001462733e-11,5.05376898453e-09
2.71592195814e-41,1.08636878326e-40,1.08636878326e-40,2.67635384473e-08,4.43894458214e-11,4.82948805404e-09
5.73933709755e-43,2.29573483902e-42,2.29573483902e-42,2.55318877838e-08,6.13060817799e-11,4.52219469427e-09
3.1029699754e-41,1.24118799016e-40,1.24118799016e-40,2.40854633642e-08,1.06396883517e-10,4.09102169197e-09
4.3483387248e-41,1.73933548992e-40,1.73933548992e-40,2.24992910805e-08,1.7576657656e-10,3.63674895141e-09
1.35587400839e-41,5.42349603358e-41,5.42349603358e-41,2.09088440101e-08,2.47216126622e-10,3.26501881054e-09
1.06699268183e-42,4.26797072732e-42,4.26797072732e-42,1.93595458892e-08,2.90332428811e-10,2.99268740302e-09
2.13773134734e-41,8.55092538934e-41,8.55092538934e-41,1.77793571159e-08,2.89374406625e-10,2.78673446094e-09
2.63862902501e-41,1.05545161e-40,1.05545161e-40,1.60749380747e-08,2.52028222517e-10,2.61419594168e-09
6.80884503456e-42,2.72353801382e-41,2.72353801382e-41,1.42373102399e-08,1.98686500749e-10,2.44768590248e-09
1.36710014845e-42,5.46840059382e-42,5.46840059382e-42,1.2359084274e-08,1.48750570541e-10,2.27625185886e-09
1.5017382434e-41,6.00695297361e-41,6.00695297361e-41,1.05676537867e-08,1.1332920679e-10,2.11505391992e-09
1.63796073938e-41,6.55184295753e-41,6.55184295753e-41,8.95077990469e-09,9.2725750202e-11,1.97682167173e-09
3.3912375538e-42,1.35649502152e-41,1.35649502152e-41,7.53777903066e-09,7.94477985766e-11,1.84820133041e-09
1.49214832643e-42,5.96859330573e-42,5.96859330573e-42,6.33530255567e-09,6.67094288673e-11,1.71760652113e-09
1.07191173838e-41,4.28764695351e-41,4.28764695351e-41,5.36764533735e-09,5.43013707988e-11,1.60190077459e-09
1.03473866552e-41,4.13895466206e-41,4.13895466206e-41,4.67650606627e-09,4.58365128571e-11,1.51651227475e-09
1.64635460739e-42,6.58541842954e-42,6.58541842954e-42,4.28165798553e-09,4.3076836621e-11,1.43960187483e-09
1.49525619216e-42,5.98102476865e-42,5.98102476865e-42,4.14409316827e-09,4.47242537045e-11,1.33506879872e-09
7.75149829173e-42,3.10059931669e-41,3.10059931669e-41,4.16889604445e-09,4.81069063443e-11,1.19831781446e-09
6.62234169797e-42,2.64893667919e-41,2.64893667919e-41,4.24531740932e-09,4.98286152385e-11,1.05666797872e-09
7.60069472622e-43,3.04027789049e-42,3.04027789049e-42,4.29009670878e-09,4.68914385097e-11,9.35283744181e-10
1.42375537323e-42,5.69502149292e-42,5.69502149292e-42,4.26591996977e-09,3.96860889077e-11,8.41596675738e-10
5.66525091757e-42,2.26610036703e-41,2.26610036703e-41,4.1746024336e-09,3.30168617468e-11,7.74194069525e-10
4.27667151527e-42,1.71066860611e-41,1.71066860611e-41,4.03973734275e-09,3.26146663335e-11,7.28772227435e-10
3.20346179963e-43,1.28138471985e-42,1.28138471985e-42,3.88724906555e-09,4.09369996931e-11,6.97208343324e-10
1.31179192095e-42,5.2471676838e-42,5.2471676838e-42,3.72577072501e-09,5.63987307296e-11,6.70665681845e-10
4.17598448095e-42,1.67039379238e-41,1.67039379238e-41,3.53583451365e-09,7.51182356875e-11,6.42112498504e-10
2.77645233486e-42,1.11058093394e-41,1.11058093394e-41,3.28166296299e-09,9.28833758704e-11,6.03108726678e-10
